#Date,news pleasantness,news attention,news sensitivity,news aptitude,news polarity,prev news pleasantness,prev news attention,prev news sensitivity,prev news aptitude,prev news polarity,stock change
2008-12-10,-2.683,22.363,16.875,3.449,-1.312,-15.506,20.966,16.866,-5.135,-9.343,1
2008-12-11,-4.07,4.022,18.685,3.834,-7.05,-2.683,22.363,16.875,3.449,-1.312,-2
2008-12-12,3.656,3.914,12.057,0.972,0.606,-4.07,4.022,18.685,3.834,-7.05,1
2008-12-15,-7.973,10.528,17.031,7.384,2.099,4.913,9.308,17.629,20.303,14.415,-1
2008-12-16,-2.332,2.3,31.703,13.094,2.711,-7.973,10.528,17.031,7.384,2.099,2
2008-12-17,10.496,24.909,14.97,32.574,25.106,-2.332,2.3,31.703,13.094,2.711,-1
2008-12-18,36.059,4.315,18.422,35.598,38.444,10.496,24.909,14.97,32.574,25.106,-2
2008-12-19,43.61,6.372,30.383,46.094,44.475,36.059,4.315,18.422,35.598,38.444,-1
2008-12-22,-1.588,18.323,14.253,10.742,7.019,21.401,27.614,20.602,26.538,29.351,-1
2008-12-23,22.869,6.743,16.634,32.472,28.895,-1.588,18.323,14.253,10.742,7.019,-1
2008-12-24,30.099,19.034,3.715,28.357,23.637,22.869,6.743,16.634,32.472,28.895,1
2008-12-26,1.957,17.791,14.756,4.211,5.508,8.781,20.935,13.913,21.296,18.283,1
2008-12-29,2.597,16.433,15.586,11.019,4.57,9.75,9.191,26.469,5.664,7.382,-1
2008-12-30,11.384,17.874,6.485,17.696,13.637,2.597,16.433,15.586,11.019,4.57,2
2008-12-31,21.303,24.394,31.311,18.245,20.975,11.384,17.874,6.485,17.696,13.637,1
2009-01-02,-4.425,0.621,12.277,11.284,6.691,7.157,24.978,20.403,11.562,13.534,2
2009-01-05,-2.891,3.824,10.092,6.516,1.129,8.457,10.971,24.501,18.415,9.697,-1
2009-01-06,19.33,19.691,6.015,30.107,23.79,-2.891,3.824,10.092,6.516,1.129,1
2009-01-07,22.846,-7.67,10.917,12.016,15.958,19.33,19.691,6.015,30.107,23.79,-2
2009-01-08,14.182,13.998,6.958,15.67,14.423,22.846,-7.67,10.917,12.016,15.958,-1
2009-01-09,24.47,-11.437,25.713,34.51,29.087,14.182,13.998,6.958,15.67,14.423,-1
2009-01-12,-3.107,20.423,19.203,36.923,18.496,25.721,21.709,15.932,25.981,27.314,-1
2009-01-13,24.356,-4.016,16.144,39.322,32.391,-3.107,20.423,19.203,36.923,18.496,-1
2009-01-14,-8.75,11.98,16.767,-10.795,-13.042,24.356,-4.016,16.144,39.322,32.391,-2
2009-01-15,17.389,-5.972,8.898,25.409,22.332,-8.75,11.98,16.767,-10.795,-13.042,1
2009-01-16,0.999,8.954,-7.101,16.07,9.487,17.389,-5.972,8.898,25.409,22.332,1
2009-01-20,4.907,-8.036,12.726,14.254,9.693,-10.791,18.685,20.029,20.853,7.415,-2
2009-01-21,9.198,18.502,21.487,38.1,25.032,4.907,-8.036,12.726,14.254,9.693,2
2009-01-22,-8.867,11.147,6.53,-3.743,-4.18,9.198,18.502,21.487,38.1,25.032,-1
2009-01-23,16.25,12.149,10.281,17.594,14.924,-8.867,11.147,6.53,-3.743,-4.18,-1
2009-01-26,-4.281,10.872,15.32,12.756,6.355,21.141,7.473,22.809,38.004,29.16,1
2009-01-27,6.931,4.708,9.869,14.03,11.148,-4.281,10.872,15.32,12.756,6.355,1
2009-01-28,5.994,8.627,19.241,24.218,18.129,6.931,4.708,9.869,14.03,11.148,2
2009-01-29,30.585,-9.493,8.068,40.974,39.433,5.994,8.627,19.241,24.218,18.129,-2
2009-01-30,23.84,-10.894,22.483,29.005,27.89,30.585,-9.493,8.068,40.974,39.433,-2
2009-02-02,16.21,22.79,27.41,35.846,27.327,16.144,22.103,14.043,27.741,24.965,-1
2009-02-03,26.716,9.822,17.949,25.223,29.206,16.21,22.79,27.41,35.846,27.327,2
2009-02-04,18.846,4.598,-0.767,10.601,10.018,26.716,9.822,17.949,25.223,29.206,-1
2009-02-05,8.834,16.467,27.308,37.293,25.289,18.846,4.598,-0.767,10.601,10.018,1
2009-02-06,9.132,24.305,19.414,5.194,8.316,8.834,16.467,27.308,37.293,25.289,2
2009-02-09,4.247,26.681,14.159,9.405,7.667,24.035,-0.512,4.382,27.62,24.239,0
2009-02-10,25.064,17.761,9.234,26.783,26.976,4.247,26.681,14.159,9.405,7.667,-2
2009-02-11,7.385,-17.412,25.172,26.31,15.991,25.064,17.761,9.234,26.783,26.976,1
2009-02-12,1.236,15.635,22.664,-6.92,0.143,7.385,-17.412,25.172,26.31,15.991,0
2009-02-13,8.661,26.495,28.387,14.981,15.501,1.236,15.635,22.664,-6.92,0.143,-1
2009-02-17,3.699,-3.261,17.588,5.618,5.369,2.081,-0.972,18.466,15.717,11.462,-2
2009-02-18,15.652,6.03,8.529,30.82,21.859,3.699,-3.261,17.588,5.618,5.369,0
2009-02-19,17.48,-11.852,5.598,27.74,24.98,15.652,6.03,8.529,30.82,21.859,-1
2009-02-20,13.356,9.943,14.212,19.03,14.343,17.48,-11.852,5.598,27.74,24.98,-1
