#Date,news positivity,news negativity,yesterday news positivity, yesterday news negativity,stock change
2011-02-10,11.5948956401,13.5513089609,8.0113389175,13.7322956697,0
2011-02-11,6.3268906585,9.570582427,11.5948956401,13.5513089609,1
2011-02-14,9.1036926859,9.4732926448,9.7896471989,15.8967874865,0
2011-02-15,5.8981832711,13.2113064769,9.1036926859,9.4732926448,-1
2011-02-16,8.4283167924,13.8408441993,5.8981832711,13.2113064769,1
2011-02-17,10.131880317,14.4951373939,8.4283167924,13.8408441993,1
2011-02-18,7.8703087564,15.0167037321,10.131880317,14.4951373939,1
2011-02-22,10.3036030198,10.9553470104,9.0272805248,12.6371043013,-2
2011-02-23,6.8248452978,7.7984143017,10.3036030198,10.9553470104,-1
2011-02-24,9.233339639,10.3810722802,6.8248452978,7.7984143017,-1
2011-02-25,6.92545659,9.745932382,9.233339639,10.3810722802,1
2011-02-28,10.2892257081,11.1215059165,11.836336993,16.9095709498,1
2011-03-01,11.0833844035,13.442013001,10.2892257081,11.1215059165,-2
2011-03-02,12.6781097245,17.3349369916,11.0833844035,13.442013001,0
2011-03-03,13.2464815741,11.449545632,12.6781097245,17.3349369916,2
2011-03-04,12.4024494502,18.6161128326,13.2464815741,11.449545632,-1
2011-03-07,8.4678749367,9.0461259011,7.1526427874,14.0360855472,-1
2011-03-08,12.1390437179,18.2574583966,8.4678749367,9.0461259011,1
2011-03-09,9.7675658696,16.9346706398,12.1390437179,18.2574583966,0
2011-03-10,7.0808766464,11.7380657046,9.7675658696,16.9346706398,-2
2011-03-11,7.4815077375,15.2496193388,7.0808766464,11.7380657046,1
2011-03-14,13.2612881635,20.9387207929,10.7559074697,15.0840179042,-1
2011-03-15,12.557590359,16.1850704129,13.2612881635,20.9387207929,-1
2011-03-16,14.6288460169,20.7447617367,12.557590359,16.1850704129,-2
2011-03-17,9.7522646841,15.4872284793,14.6288460169,20.7447617367,2
2011-03-18,9.9065178666,13.1235190248,9.7522646841,15.4872284793,1
2011-03-21,6.2414713484,7.4318533075,8.828809943,12.2475223725,2
2011-03-22,13.103393163,15.779893611,6.2414713484,7.4318533075,-1
2011-03-23,8.0270785372,14.3180280083,13.103393163,15.779893611,1
2011-03-24,9.1745435856,13.1636620784,8.0270785372,14.3180280083,1
2011-03-25,10.2883816234,11.3352891881,9.1745435856,13.1636620784,1
2011-03-28,12.2171716606,18.5977357625,10.2575132855,15.0829951582,-1
2011-03-29,8.744230258,9.7890770505,12.2171716606,18.5977357625,1
2011-03-30,9.6594935229,9.9917873136,8.744230258,9.7890770505,1
2011-03-31,8.2694601981,9.7299369807,9.6594935229,9.9917873136,-1
2011-04-01,6.8927014152,9.9106085693,8.2694601981,9.7299369807,1
2011-04-04,8.5089231892,12.1534456338,6.5781575507,9.7562851813,1
2011-04-05,10.1768619912,12.5512162176,8.5089231892,12.1534456338,0
2011-04-06,11.8250621862,18.2524827215,10.1768619912,12.5512162176,1
2011-04-07,9.7698671531,17.4511418011,11.8250621862,18.2524827215,-1
2011-04-08,10.4246763659,11.0218413086,9.7698671531,17.4511418011,-1
2011-04-11,7.3114668756,8.4524318901,7.604000441,12.595367945,0
2011-04-12,9.7954842287,16.679457222,7.3114668756,8.4524318901,-1
2011-04-13,11.6922148213,15.5340632385,9.7954842287,16.679457222,0
2011-04-14,9.2704465522,10.9808727921,11.6922148213,15.5340632385,1
2011-04-15,8.4187101012,15.0750075989,9.2704465522,10.9808727921,1
2011-04-18,6.2820736861,8.872807809,7.3642916703,10.0003035826,-1
2011-04-19,7.2510557691,10.3533676095,6.2820736861,8.872807809,1
2011-04-20,6.8823706253,10.2367477249,7.2510557691,10.3533676095,2
2011-04-21,5.5177790018,8.9245810487,6.8823706253,10.2367477249,1
2011-04-25,8.464192744,8.0736422012,8.4370759959,13.5108593612,-1
2011-04-26,14.1948798902,18.315312974,8.464192744,8.0736422012,1
2011-04-27,8.6811506321,9.3950369413,14.1948798902,18.315312974,1
