#Date,yesterday news positivity, yesterday news negativity,stock change
2009-07-24,8.7625810514,11.09835573,1
2009-07-27,9.2205496716,11.4211531989,1
2009-07-28,13.2518708756,14.6843159383,0
2009-07-29,13.4718788222,15.7919915717,-1
2009-07-30,15.0201116775,18.7520130594,1
2009-07-31,12.0256322558,16.0202383402,1
2009-08-03,9.040663472,14.7289349153,1
2009-08-04,16.9799347603,19.1976702995,1
2009-08-05,9.0383685703,11.9513305475,-1
2009-08-06,6.5565753873,9.6639869923,-1
2009-08-07,10.8835371694,13.0204803753,1
2009-08-10,9.6895299125,14.9227750845,-1
2009-08-11,10.2309325553,15.1583237771,-1
2009-08-12,9.4150341678,13.6061154489,1
2009-08-13,8.6615830931,10.9213041091,1
2009-08-14,10.8584184559,13.5366730669,-1
2009-08-17,11.317503564,13.9358223826,-2
2009-08-18,12.1830274117,13.6277844211,1
2009-08-19,8.5933077459,13.3995829137,1
2009-08-20,14.9741871831,15.7531958224,1
2009-08-21,9.5846536926,13.8774178193,2
2009-08-24,8.7395807221,7.1345094639,0
2009-08-25,8.2888394057,13.2340709844,1
2009-08-26,10.9666760549,11.8098026218,0
2009-08-27,9.0505664363,12.4354340071,1
2009-08-28,11.8465500606,16.1086380464,-1
2009-08-31,11.2672064962,13.144135908,-1
2009-09-01,9.4490475401,13.0212044238,-2
2009-09-02,11.3067245232,10.9630355615,-1
2009-09-03,8.3614011347,9.2979646386,1
2009-09-04,11.6737696307,10.7574811758,1
2009-09-08,7.2431987834,13.5263281561,1
2009-09-09,14.2732081371,13.8487297678,1
2009-09-10,7.6578140826,9.5517583186,1
2009-09-11,14.1444818248,16.7864920494,-1
2009-09-14,7.1521651852,10.0125261627,1
2009-09-15,19.1653137053,20.4360501541,1
2009-09-16,9.6867761012,11.0705324313,1
2009-09-17,10.8033114819,16.1564151318,0
2009-09-18,9.0699769311,13.2533768894,1
2009-09-21,7.8305236505,12.6412939797,-1
2009-09-22,12.6437882091,13.4798254087,1
2009-09-23,11.5057063799,11.4341294314,-1
2009-09-24,14.5399959498,14.9155273286,-1
2009-09-25,16.107129781,20.0192814312,-1
2009-09-28,7.6910609632,9.3928510975,1
2009-09-29,9.2758214663,9.2716392379,-1
2009-09-30,12.2746976983,16.9038625598,-1
2009-10-01,6.6129972443,16.9530463739,-2
2009-10-02,11.3280758241,14.6261683556,-1
2009-10-05,8.842692497,13.4910465483,1
2009-10-06,14.9697171149,17.258437677,1
2009-10-07,14.2299588675,14.8227955804,0
2009-10-08,12.5319774383,17.4122488705,1
2009-10-09,13.9508204662,13.7934750669,1
2009-10-12,7.1910849403,11.1323463272,1
2009-10-13,11.7084397036,15.0514675555,0
2009-10-14,9.283879462,11.8850001673,2
2009-10-15,11.2950879531,14.1254052899,1
2009-10-16,12.2088961432,14.0384532666,-1
2009-10-19,10.1255348231,13.1768681289,1
2009-10-20,16.1220118625,14.0134887231,-1
2009-10-21,13.8847669511,11.7036205782,-1
2009-10-22,14.7264373938,15.1840386417,1
2009-10-23,11.4272010727,12.1445055343,-1
2009-10-26,20.8655884357,25.6667784061,-1
2009-10-27,12.3068406117,15.2835370114,0
2009-10-28,13.1285624504,15.609114333,-1
2009-10-29,11.7422333625,12.6486139287,2
2009-10-30,12.042343241,12.4300401642,-2
2009-11-02,10.1510553704,10.2228541631,1
2009-11-03,10.1163740534,14.8369008023,-1
2009-11-04,16.3498677192,21.1442633247,1
2009-11-05,8.9474118194,15.6539857812,2
2009-11-06,6.903025109,13.0829319089,1
2009-11-09,11.2091858608,14.4574994842,2
2009-11-10,12.0625642386,13.2118941031,1
2009-11-11,11.2490995985,19.346829298,1
2009-11-12,13.0610159881,14.4047291879,-1
2009-11-13,10.2048560613,13.438983655,1
2009-11-16,15.3265553092,17.9597430603,1
2009-11-17,10.1592605112,11.8850100085,1
2009-11-18,13.3836991032,11.2055810815,0
2009-11-19,7.4471910285,11.5627602157,-1
2009-11-20,14.6867196346,15.0440240836,0
2009-11-23,18.8129495827,17.4765996019,1
2009-11-24,9.6069250824,15.7674138309,-1
2009-11-25,12.86347075,18.0519702381,1
2009-11-27,13.2769895973,14.4620407739,-2
2009-11-30,12.815940392,14.6609058228,1
2009-12-01,12.5020908184,15.8436046947,1
2009-12-02,12.919470987,18.451317193,-1
2009-12-03,11.0120261687,18.3258384141,-1
2009-12-04,8.3732060805,11.2152181699,1
2009-12-07,12.1213621959,14.4784862101,0
2009-12-08,9.7500341932,11.7505330014,-1
2009-12-09,9.3265102835,10.5172764451,1
2009-12-10,9.1319500982,8.9775729251,1
2009-12-11,11.5664271177,15.0694529987,1
2009-12-14,8.8274380983,15.645721629,1
2009-12-15,10.9851269161,14.0971968675,-1
2009-12-16,13.143262598,16.823166992,0
2009-12-17,10.0502140544,11.7076510559,-1
2009-12-18,14.7698855635,19.7028833926,1
2009-12-21,11.0276026996,12.7201184681,1
2009-12-22,9.3002998023,11.5390329528,1
2009-12-23,14.6924218655,18.212214448,0
2009-12-24,9.0814256232,11.147789277,1
2009-12-28,11.2847145846,15.2035544907,1
2009-12-29,12.6680994892,15.6987860811,0
2009-12-30,8.2331217002,9.0552262788,0
2009-12-31,9.470410261,9.5559536478,-1
2010-01-04,16.8187915596,15.0631826045,2
2010-01-05,12.5947490743,17.0436828282,0
2010-01-06,11.2272621599,13.0103682684,0
2010-01-07,14.1890727976,17.7039172582,1
2010-01-08,13.8257427903,18.1616674204,0
2010-01-11,10.6390339888,17.2315700637,1
2010-01-12,12.2886725149,18.857060527,-1
2010-01-13,15.566541799,21.9867452838,1
2010-01-14,13.5314084642,17.7275025996,1
2010-01-15,12.4298446064,19.180834311,-1
2010-01-19,8.5715611156,12.2673443319,1
2010-01-20,7.8824018766,11.7998929647,-1
2010-01-21,12.9077652984,14.1858489509,-2
2010-01-22,15.6984057658,15.5470754122,-2
2010-01-25,11.7221306786,16.0088515278,1
2010-01-26,13.2586096809,18.2592524861,0
2010-01-27,11.0170690768,16.9975059663,1
2010-01-28,9.5522698342,14.1995061963,-1
2010-01-29,12.731624025,14.8984255106,-1
2010-02-01,7.9366372181,11.6527711104,1
2010-02-02,11.8634056082,14.072170629,1
2010-02-03,9.6415781438,14.7387438311,-1
2010-02-04,9.4060048029,9.9411330209,-2
2010-02-05,12.4074926447,12.1609334923,0
2010-02-08,9.8185204841,14.1960339429,-1
2010-02-09,13.0402565804,17.3056974857,2
2010-02-10,11.9159510342,16.8465501861,-1
2010-02-11,8.9597461312,15.6242793328,1
2010-02-12,10.4663202264,16.3569295918,-1
2010-02-16,14.911621548,16.6647315662,2
2010-02-17,7.0075723978,16.2136126148,1
2010-02-18,9.1036498316,18.2175740988,1
2010-02-19,9.5929188215,13.5187505545,1
2010-02-22,10.0286888254,11.3040138166,-1
2010-02-23,9.3529964164,10.8020586399,-1
2010-02-24,12.7942830741,14.2478162685,1
2010-02-25,9.3425617066,15.4905068823,-1
2010-02-26,7.3404102217,8.6860159129,0
2010-03-01,8.3036973239,12.5737002377,1
2010-03-02,12.0393866377,18.7802574958,0
2010-03-03,11.9985507127,14.3393262454,0
2010-03-04,9.3264607965,12.5875188162,1
2010-03-05,10.9601043401,15.120352458,1
2010-03-08,9.0534640063,13.8801279047,0
2010-03-09,12.4671484085,12.5664083689,0
2010-03-10,12.082184582,15.6559001878,0
2010-03-11,11.5027918377,12.2482418393,1
2010-03-12,8.4729888371,11.1186968056,0
2010-03-15,11.7186145376,13.4741926859,1
2010-03-16,13.641253987,9.8415655459,1
2010-03-17,11.4465857884,14.2811801724,1
2010-03-18,7.5181806041,11.7971129565,1
2010-03-19,11.1184676399,11.297508078,-1
2010-03-22,9.5612989534,13.5433546977,1
2010-03-23,14.7722444308,14.6405557222,1
