#Date,news positivity,news negativity,stock change
2009-06-05,9.9641990534,12.7411881441,0
2009-06-08,9.9718778572,12.6549327151,0
2009-06-09,9.2451863463,14.8641620463,0
2009-06-10,10.6616901836,10.6887793043,-1
2009-06-11,13.3978756879,18.4524635982,1
2009-06-12,8.0015411179,9.6307652266,1
2009-06-15,8.6075037454,12.8435969011,-2
2009-06-16,9.4298386812,13.5637174163,-1
2009-06-17,10.2452226593,10.9625996961,0
2009-06-18,11.5926350367,16.3626345429,1
2009-06-19,11.5266954118,15.0245128723,-1
2009-06-22,10.2637405649,13.4225901408,-2
2009-06-23,9.0259052824,11.6432638359,-1
2009-06-24,7.7667599437,11.6914791489,-1
2009-06-25,14.6004262261,13.0510696411,2
2009-06-26,5.9658759256,9.8964661027,-1
2009-06-29,9.6440653822,11.9756472739,1
2009-06-30,9.0994137853,12.8821442668,-1
2009-07-01,8.4217455077,11.1264890719,1
2009-07-02,7.2252697761,8.5959321123,-2
2009-07-06,6.6281768018,9.7942455244,1
2009-07-07,11.4423627043,10.714308848,-2
2009-07-08,16.5192771183,18.876356075,1
2009-07-09,9.260347308,9.706217138,0
2009-07-10,8.9776247583,11.8130679601,-1
2009-07-13,9.7262777027,12.9322487526,2
2009-07-14,7.506978878,10.9723545899,1
2009-07-15,7.973470225,13.3077424634,2
2009-07-16,11.3904760538,12.4662813208,1
2009-07-17,9.7604513357,11.1943256108,1
2009-07-20,13.3260841098,12.5516115971,1
2009-07-21,10.5341164997,13.9294025478,1
2009-07-22,9.6230201033,12.1017179305,-1
2009-07-23,8.7625810514,11.09835573,2
2009-07-24,9.5737087675,12.3546522839,1
2009-07-27,13.2518708756,14.6843159383,1
2009-07-28,13.4718788222,15.7919915717,0
2009-07-29,15.0201116775,18.7520130594,-1
2009-07-30,12.0256322558,16.0202383402,1
2009-07-31,11.7510283753,13.9842087636,1
2009-08-03,16.9799347603,19.1976702995,1
2009-08-04,9.0383685703,11.9513305475,1
2009-08-05,6.5565753873,9.6639869923,-1
2009-08-06,10.8835371694,13.0204803753,-1
2009-08-07,9.1525853369,11.5856393747,1
2009-08-10,10.2309325553,15.1583237771,-1
2009-08-11,9.4150341678,13.6061154489,-1
2009-08-12,8.6615830931,10.9213041091,1
2009-08-13,10.8584184559,13.5366730669,1
2009-08-14,9.1826909694,10.708025113,-1
2009-08-17,12.1830274117,13.6277844211,-2
2009-08-18,8.5933077459,13.3995829137,1
2009-08-19,14.9741871831,15.7531958224,1
2009-08-20,9.5846536926,13.8774178193,1
2009-08-21,13.7768227117,19.8160014357,2
2009-08-24,8.2888394057,13.2340709844,0
2009-08-25,10.9666760549,11.8098026218,1
