#Date,prev news pleasantness,prev news attention,prev news sensitivity,prev news aptitude,prev news polarity,stock change
2009-03-23,11.975,-7.467,21.061,28.8,21.12,2
2009-03-24,38.373,7.708,18.985,45.744,45.475,-1
2009-03-25,52.493,39.205,10.773,48.784,52.688,1
2009-03-26,32.349,8.931,18.684,40.223,32.989,2
2009-03-27,10.157,17.153,20.045,16.137,17.261,-2
2009-03-30,18.539,12.831,14.888,-6.873,4.045,-2
2009-03-31,21.205,6.668,31.259,18.679,20.44,1
2009-04-01,9.436,14.591,32.429,24.835,18.33,2
2009-04-02,11.76,-8.527,24.891,24.072,15.453,2
2009-04-03,-11.388,-2.506,16.403,-1.304,-4.306,1
2009-04-06,1.434,20.637,25.3,20.602,17.012,-1
2009-04-07,-8.904,17.947,5.98,11.695,3.411,-2
2009-04-08,22.585,16.55,20.74,51.284,40.091,1
2009-04-09,22.612,18.717,24.952,23.879,23.944,2
2009-04-13,25.151,16.605,10.141,37.344,34.053,0
2009-04-14,-1.622,18.455,11.379,14.392,8.162,-1
2009-04-15,40.503,-6.444,7.353,50.148,44.361,1
2009-04-16,20.715,22.891,29.939,28.184,24.304,1
2009-04-17,5.619,9.779,27.391,19.313,14.878,0
2009-04-20,14.863,18.65,13.19,24.256,20.596,-2
2009-04-21,26.207,16.514,14.936,30.607,24.814,1
2009-04-22,23.051,9.735,16.703,26.359,27.188,-1
2009-04-23,38.612,1.927,24.433,34.865,37.402,1
2009-04-24,11.506,-2.246,30.366,11.705,11.162,1
2009-04-27,40.38,62.243,9.098,18.486,28.771,-1
2009-04-28,35.254,25.646,-13.263,33.748,37.083,0
2009-04-29,63.955,-1.984,-5.384,72.89,65.231,2
2009-04-30,19.527,17.808,13.056,25.702,27.55,0
2009-05-01,13.624,13.602,15.794,16.84,17.725,1
2009-05-04,12.438,35.075,9.938,28.195,24.618,2
2009-05-05,27.059,11.227,16.168,29.129,27.516,0
2009-05-06,15.322,16.498,19.538,12.083,20.129,1
2009-05-07,25,4.919,5.609,28.777,26.49,-1
2009-05-08,-0.941,0.837,24.323,1.022,0.504,2
2009-05-11,-0.295,5.886,-4.734,9.792,9.117,-2
2009-05-12,36.282,33.68,28.172,41.361,42.609,1
2009-05-13,8.498,26.101,23.424,13.601,10.492,-2
2009-05-14,52.095,7.028,5.505,39.682,40.509,1
2009-05-15,13.283,16.803,14.519,27.729,22.035,-1
2009-05-18,27.681,22.121,4.761,15.456,24.73,2
2009-05-19,10.728,22.086,20.884,33.152,25.275,0
2009-05-20,2.849,1.735,12.716,32.728,15.659,-1
2009-05-21,13.731,12.115,43.548,23.886,22.968,-1
2009-05-22,-1.997,13.581,19.174,6.079,0.817,0
2009-05-26,27.492,1.292,4.905,35.374,33.271,2
2009-05-27,19.949,18,24.344,25.724,25.223,-2
2009-05-28,-1.25,22.047,10.537,10.598,5.746,1
2009-05-29,15.96,29.582,28.612,27.532,25.118,1
2009-06-01,25.771,10.368,17.794,34.031,32.002,2
2009-06-02,28.915,14.883,8.994,43.301,41.744,0
2009-06-03,15.402,14.968,25.428,38.362,32.805,-1
2009-06-04,13.116,10.06,20.474,29.075,24.943,1
2009-06-05,43.829,32.694,33.824,72.429,60.515,0
2009-06-08,17.768,21.097,-2.988,3.54,9.511,0
2009-06-09,22.587,11.391,19.702,28.979,28.272,0
2009-06-10,17.198,15.883,15.438,22.075,20.377,0
2009-06-11,38.032,19.675,7.777,65.443,54.546,0
2009-06-12,33.643,24.909,19.804,46.972,43.729,0
2009-06-15,5.354,8.628,22.676,14.624,13.571,-2
2009-06-16,13.507,19.041,24.708,50.462,33.702,-1
2009-06-17,13.285,9.256,27.461,41.699,24.203,0
2009-06-18,18.916,19.693,22.219,32.578,24.182,1
2009-06-19,29.201,2.905,49.89,61.276,43.109,0
2009-06-22,17.927,1.351,10.538,42.206,28.844,-2
2009-06-23,17.387,33.788,26.617,40.337,31.506,0
2009-06-24,-2.297,14.525,21.592,18.872,5.901,0
2009-06-25,4.787,20.32,19.49,13.173,5.375,2
